#,repo,file_path,commit_url,description,category,affected_instructions,
293,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/856670f5266a1434f9f49ba32e475834206fb292,"add dockerfile, add comments","AD,MC",*,
294,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/bdfcdb9ffa14e4952b8101db73ddf15b7b5dc71b,remove dep installation step,RBS,RUN,
295,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/d60cc7ca209b19b6b1f2f10667ad8a0d7da8ba35,refactor env variables (OS image),UBS,"ARG,ENV",
296,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/f258c8a66cd9a651c6dc9a5ef98752c5510a25e9,remove comments,MC,,
297,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/7b5b7e6901ed8a53a40aabd53393df01fd790132,remove dep installation step,RBS,RUN,
298,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/98ca4a42674a3073c3f281fb71e2d2d90a321638,add builddeps installation step (via script),ABS,RUN,
299,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/38f6cdfc3e0e5d9f12d69c0867a88b8e609977d9,add dockerfile,AD,*,
300,bbxyard/bbxyard,yard/toolkits/docker/df/dashboard/netdata-centos.dockerfile,https://github.com/bbxyard/bbxyard/commit/bb24daa386ae51b67a08fdbfc5680d34ea15b07d,"add script that sets up the environement, comment instruction, update CMD instruction","UBS,MC,ABS","RUN,ENTRYPOINT,CMD",
301,bbxyard/bbxyard,yard/toolkits/docker/df/dashboard/netdata-centos.dockerfile,https://github.com/bbxyard/bbxyard/commit/f7c5e0bb164c65d5a83fba40532f19e0131fafb3,add dockerfile,AD,*,
302,camunda-consulting/camunda-7-code-examples,snippets/camunda-optimize/sso/optimize-keycloak/keycloak-proxy/Dockerfile,https://github.com/camunda-consulting/camunda-7-code-examples/commit/88fe63cb017e0b6c6c81056805db17c93bc68db5,add dockerfile,AD,*,
303,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/c44fe133d423674e5cb525a716b689005ef93699,"add dependency, downgrade older dependency",UBS,RUN,
304,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/f6ea9f7ed0497e9de5aaa2419bf52d41d0d8a3b3,"remove dependency, version bump other dep",UBS,RUN,
305,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/93dc882c436c16e453de2b708439a60a01490274,version pin dependency,UBS,RUN,
306,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/207dabad19ed01b978ea6677ef3c4e76e067ffcc,rename dockerfile,RD,,
307,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/d94de9db958ebe41058c40b492db887fb6d3bd15,version bump dependencies,UBS,"ARG,ARG,ARG",
308,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/68bebfcf55bc5211f91359c0afd990836ee30b57,update base image,UBI,FROM,
309,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/59ef0d5c6b787a54723f63ba3888328b715c11e4,replace MAINTAINER with LABEL ,"RBS,ABS","MAINTAINER,LABEL",
310,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/ed8f34eccc3efb4d6cbbb399be923404a4f42469,rename config yaml file (merge multiple config files),"UBS,R",COPY,
311,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/9663401a8839f02f4bf0134f0d6f08ab684af608,"refactor, add base image version as build argument","ABS,UBS","FROM,ARG",
312,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/388fb907ff0522de5b11c4fcaf3f09384f28a577,add dockerfile,AD,*,
313,elastic/examples,Miscellaneous/docker/full_stack_example/config/apache2/Dockerfile,https://github.com/elastic/examples/commit/de092266152ce41ffcc6377591be288b9f02337c,add dockerfile,AD,*,
314,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/e3279ec95f35a731ae45c0e12b10812ce38db5bd,"add dependency, update CMD and ENTRYPOINT instructions as suggested by best practices","UBS,ABS","RUN,ENTRYPOINT,CMD",
315,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/98262b9a14fb306bbb1278bb58365e92356093cf,update base image,UBI,FROM,
316,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/77be483770cf35436d240348d10f43a30bd08e47,update base image,UBI,FROM,
317,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/a4b7f9f70366c1d8772f1cb096fc9caba69b00aa,add dockerfile,AD,*,
318,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/b8803fbb45e2ced9ce312dd8fc0a0b7edcd1d528,update virtualenv command,"UBS,RBS","RUN,RUN",
319,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/cabf67dd7ee4488d35c9f7829dc3cab7953cd93a,set default shell,"ABS,UBS","SHELL,RUN",
320,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/8157738766787f98d416304c5cb3536401e083f7,concat multiple RUN commands to reduce layer count,"UBS,MC","RUN,RUN,RUN,RUN",
321,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/b3da9e0c46a8133b020416fccbdac97b88baba6c,update pip before installing dependencies,ABS,RUN,
322,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/63a4d3e7cbfba33bb034ff4e64d9146b16e46349,add dockerfile,AD,*,
323,nexdatas/tools,.ci/debian9_py3/Dockerfile,https://github.com/nexdatas/tools/commit/e6d94163235e8a54f6f3a715962909833d0b98ea,add pytest to dockerfile,"UBS,RBS,ABS,MC,S","RUN,RUN,RUN,RUN,RUN",
324,nexdatas/tools,.ci/debian9_py3/Dockerfile,https://github.com/nexdatas/tools/commit/d9b7a49df1502cc1cc39f60d50296e0e399bd1f4,comment dependency ,"UBS,MC","RUN,ENV",
325,nexdatas/tools,.ci/debian9_py3/Dockerfile,https://github.com/nexdatas/tools/commit/3c57dab090d605ff015a6f134a727431d62d9351,remove old dependency,"UBS,MC",RUN,
326,nexdatas/tools,.ci/debian9_py3/Dockerfile,https://github.com/nexdatas/tools/commit/7b1c9dce78b6a51c340e72b85eb933996ac64848,add env var,ABS,ENV,
327,nexdatas/tools,.ci/debian9_py3/Dockerfile,https://github.com/nexdatas/tools/commit/f0334a228a5e3d691fd802ce48e2372810f08839,rename dockerfile,RD,,
328,joejcollins/captain-grey,.gitpod.Dockerfile,https://github.com/joejcollins/captain-grey/commit/465b461dc2abd2f225143fc50e914f9e70d503d0,add dockerfile,AD,*,
329,Imagick/imagick,docker/testing8_0/Dockerfile,https://github.com/Imagick/imagick/commit/75523cfd023343e46ec16e943344a8c97b827cde,dependency version bump,UBS,RUN,
330,Imagick/imagick,docker/testing8_0/Dockerfile,https://github.com/Imagick/imagick/commit/3194991eef853a399a8ebf02cc38e983b95a9017,add dockerfile,AD,*,
331,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/041016cda64390802edf49fca252fef763696aa6,increase run-time memory limits,UBS,RUN,
332,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/0d9a4a9d76e15d4c479de7c97ce992f83a11d7a2,move artifact to a different dir,UBS,RUN,
333,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/21a2e982105df8b30a0b7a81bea1af411687dafd,base image version bump,UBI,FROM,
334,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/a23aa154b000a7833daaeff330d2df7ba104b353,concat installation step,UBS,RUN,
335,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/0dd6a8df3eeecd4f904247e3c314af3e265ce36d,modify script timezone,UBS,RUN,
336,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/3c666d4787e8bf1bccb1b9a0707cd1074a4d9763,base image version bump,UBI,FROM,
337,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/2754dcb4f18e8f3ca5787211cadda74a265a4b68,add env var,ABS,ENV,
338,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/f3e8ecdb3b9fc16b680c63ffa5c5e5c34292a095,remove build step,RBS,COPY,
339,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/d7b2f74d9d00f837821d9bb07f456defaac3db37,"add env var and apply it to ''/etc/timezone/""","ABS,UBS","ENV,RUN",
340,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/cff411dbb22f379f82aa81201f301c1da9f26637,add dependency installations,UBS,RUN,
341,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/680e1324ffaeac26df4e6d4ce970d84f2cb2c55c,copy assets,ABS,COPY,
342,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/5e671f166c603c8a7ad33bc51e09ecbe3529d083,add web assets/resources,UBS,VOLUME,
343,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/79e8a1959dd9fe0c09a7f5b35779095b6ef9acd3,add env var,ABS,ENV,
344,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/1d8a9ec877bf9bf27933036a93bbffb36b9c76d9,remove dependencies,RBS,RUN,
345,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/b4892cb699128ade82f4e0016bc5536aa82e645a,add build installation depenency,UBS,RUN,
346,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/d6b54cdd7762ef7e49a52fa604b2a066b1a509e6,update dep install command to number of processors,UBS,RUN,
347,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/c7020d1a19f35b3189ee89bf36a9c78a170fb700,remove build dependency,UBS,RUN,
348,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/20e33fd6221efd18a90a4e97b9fa3533c4c12d55,set a cleanup step after dependency installation,UBS,RUN,
349,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/9266934b1ea31520c3b10b289b16d8c30052a457,base image version bump,UBI,FROM,
350,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/3577d641337f9f1b1c1aafbcb90bcd00ac888df1,add build installation depenency,UBS,RUN,
351,morontt/zend-blog-3-backend,docker/web/prod/Dockerfile,https://github.com/morontt/zend-blog-3-backend/commit/4d0847ee2fe29d239fa51d62161e3fa44ef956a5,rename dockerfile,RD,,
352,kaiyuanshe/open-hackathon,deploy/Dockerfile/mono/Dockerfile,https://github.com/kaiyuanshe/open-hackathon/commit/4661cbdc0ecc8c1a731fd9e160a34ddd5d6accf6,"update comments, licensing information",MC,,
353,kaiyuanshe/open-hackathon,deploy/Dockerfile/mono/Dockerfile,https://github.com/kaiyuanshe/open-hackathon/commit/b4daeb135f61bbd899e3df4ffe558aae7abe3b11,add license as comments,MC,,
354,kaiyuanshe/open-hackathon,deploy/Dockerfile/mono/Dockerfile,https://github.com/kaiyuanshe/open-hackathon/commit/f5ce5fab04828b7f98d93a6b03d6d01d29eb8066,rename dockerfile,RD,,
355,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/c7018922f6953ff7bce6584b8342660bdfd10504,add volume,"ABS,S",VOLUME,
356,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/9191284d9b43d5c95a0568dabedab32d2a323b97,update base image,UBI,FROM,
357,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/a03f4ae10fcfc1013c2b47e121df273738aa701c,version bump dependencies,UBS,"ADD,ADD",
358,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/27f65c5acdd71aff7f1b70f6b93c8d777c8b8cbd,modify env var key,UBS,ENV,
359,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/0e5c300e004a1b14adea77929de549a7d2b1858d,modify env var key,UBS,ENV,
360,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/1323d8405c08b4684f93a204926cc582bcace693,add env var to manage behaviour,"ABS,S",ENV,
361,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/422f11b845f90abc3c43d405d739a275666b9cf5,"rename pathing, ensure singe parent dir","UBS,R","ENV,ENV",
362,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/f25de5e251661312cd7a4dc0b59a993973f8d528,modify env var key,UBS,ENV,
363,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/61203c99bd8b332b272bc5ec6ded75e00cd9ef65,add env var default values,"ABS,MC,S","ENV,ENV",
364,Particular/ServiceControl,src/docker/servicecontrol.rabbitmq.direct.init-windows.dockerfile,https://github.com/Particular/ServiceControl/commit/b77f602bc49e4156b075765a9af830f72556b47a,rename dockerfile,RD,,
365,PatWie/CppNumericalSolvers,.ci/Dockerfile,https://github.com/PatWie/CppNumericalSolvers/commit/81d60f8e53fcd60c81e70ff25864446a4d36033d,dependency version bump,UBS,"RUN,RUN,RUN,RUN,RUN",
366,PatWie/CppNumericalSolvers,.ci/Dockerfile,https://github.com/PatWie/CppNumericalSolvers/commit/33966f3cab3466fcd2e7e834009b4cf4cb09325d,"update base image, concat run commands used to install deps","UBI,UBS,RBS","FROM,RUN,RUN,RUN",
367,PatWie/CppNumericalSolvers,.ci/Dockerfile,https://github.com/PatWie/CppNumericalSolvers/commit/4fd68fc062a56ba41afd25adf34bccbe14f45475,add dockerfile,AD,*,
368,zmartzone/mod_auth_openidc,test/Dockerfile,https://github.com/zmartzone/mod_auth_openidc/commit/160a7f2ab3e610ea5b18368ee7c09c89c55bad2b,add dockerfile,AD,*,
369,troglobit/netcalc,Dockerfile,https://github.com/troglobit/netcalc/commit/5d047da897d77d05c3e890a9be78da25b8283e10,add dockerfile,AD,*,
370,Xilinx/xen,automation/build/ubuntu/trusty.dockerfile,https://github.com/Xilinx/xen/commit/49704b8d237ce1d141c9130dafeec6e37fbb39b6,remove dep version pin,UBS,RUN,
371,Xilinx/xen,automation/build/ubuntu/trusty.dockerfile,https://github.com/Xilinx/xen/commit/b9a3c9535622c78d04c3d548513af81c8e64d0f1,add dependency,UBS,RUN,
372,Xilinx/xen,automation/build/ubuntu/trusty.dockerfile,https://github.com/Xilinx/xen/commit/16d45644afa64c849d8cfa28190fa9c952fc329b,add dockerfile,AD,*,
373,yorch81/WebOcr,docker/Dockerfile,https://github.com/yorch81/WebOcr/commit/04c35fbcbee4866331d81ae09f6df45213e596d7,add dockerfile,AD,*,
374,cernopendata/opendata.cern.ch,nginx/Dockerfile,https://github.com/cernopendata/opendata.cern.ch/commit/a01164adbc518627d0ee8e5c655c7dfd6e922de7,split general ADD instruction into COPY instructions,"RBS,ABS","ADD,COPY,COPY,COPY",
375,cernopendata/opendata.cern.ch,nginx/Dockerfile,https://github.com/cernopendata/opendata.cern.ch/commit/2159d2dd32a03da821bd27441ab34a7a6350173d,add whitespace,S,,
376,cernopendata/opendata.cern.ch,nginx/Dockerfile,https://github.com/cernopendata/opendata.cern.ch/commit/8153b1ea59201a9150f9f57bfbf0c7f23d1c39b0,"update base image, add run command","UBI,ABS,MC,S","FROM,CMD",
377,cernopendata/opendata.cern.ch,nginx/Dockerfile,https://github.com/cernopendata/opendata.cern.ch/commit/3bc13b40fcb852d4e8add1251b9fd295b7beae28,add dockerfile,AD,*,
378,SemanticApplicationDesignLanguage/sadl,sadl3/com.ge.research.sadl.parent/theia-sadl-extension/apps/browser-app/Dockerfile,https://github.com/SemanticApplicationDesignLanguage/sadl/commit/8f58c14d60a2eedf5e040666e4c5d494f21d7443,bump jdk version,UBS,RUN,
379,SemanticApplicationDesignLanguage/sadl,sadl3/com.ge.research.sadl.parent/theia-sadl-extension/apps/browser-app/Dockerfile,https://github.com/SemanticApplicationDesignLanguage/sadl/commit/a0bd4959b0ed7005d2f1bbf4fb17c8a9a61e590e,"downgrade base image, downgrade python version",UBS,"FROM,RUN,FROM",
380,SemanticApplicationDesignLanguage/sadl,sadl3/com.ge.research.sadl.parent/theia-sadl-extension/apps/browser-app/Dockerfile,https://github.com/SemanticApplicationDesignLanguage/sadl/commit/d5d365ae0f625ae57ce8fa432e6afaa01f59a7ff,bump python version (dep),UBS,RUN,
381,SemanticApplicationDesignLanguage/sadl,sadl3/com.ge.research.sadl.parent/theia-sadl-extension/apps/browser-app/Dockerfile,https://github.com/SemanticApplicationDesignLanguage/sadl/commit/77f07c963f36a081ca8e927fd8cdf7173437a030,bump base image version,UBI,"FROM,FROM",
382,SemanticApplicationDesignLanguage/sadl,sadl3/com.ge.research.sadl.parent/theia-sadl-extension/apps/browser-app/Dockerfile,https://github.com/SemanticApplicationDesignLanguage/sadl/commit/b96fe9a50b275253d162a58ef9ec76a7dfbcf4ba,rename dockerfile,RD,,